 25/11-11:49:42.042   	Usense5	39.300672353	39.300672353	0	39.300672353
 25/11-11:50:42.042   	Usense5	99.046964338	99.046964338	0	99.046964338
 25/11-11:51:42.042   	Usense5	161.196454743	161.196454743	0	161.196454743
 25/11-11:52:42.042   	Usense5	219.283646396	219.283646396	0	219.283646396
 25/11-11:53:42.042   	Usense5	279.242166717	279.242166717	0	279.242166717
 25/11-11:54:42.042   	Usense5	340.163618412	340.163618412	0	340.163618412
 25/11-11:55:42.042   	Usense5	404.01055911	404.01055911	0	404.01055911
 25/11-11:56:42.042   	Usense5	460.225921428	460.225921428	0	460.225921428
 25/11-11:57:42.042   	Usense5	523.409613375	523.409613375	0	523.409613375
 25/11-11:58:42.042   	Usense5	586.026064737	586.026064737	0	586.026064737
 25/11-11:59:42.042   	Usense5	639.717958888	639.717958888	0	639.717958888
 25/11-12:00:42.042   	Usense5	29.483593598	29.483593598	341.4435998216	370.9271934196
 25/11-12:01:42.042   	Usense5	83.315961915	83.315961915	341.4435998216	424.7595617366
 25/11-12:02:43.043   	Usense5	143.221417693	143.221417693	341.4435998216	484.6650175146
 25/11-12:03:43.043   	Usense5	202.948973514	202.948973514	341.4435998216	544.3925733356
 25/11-12:04:43.043   	Usense5	264.706208001	264.706208001	341.4435998216	606.1498078226
 25/11-12:05:43.043   	Usense5	323.911774029	323.911774029	341.4435998216	665.3553738506
 25/11-12:06:43.043   	Usense5	384.924343559	384.924343559	341.4435998216	726.3679433806
 25/11-12:07:43.043   	Usense5	443.407075045	443.407075045	341.4435998216	784.8506748666
 25/11-12:08:43.043   	Usense5	503.274455906	503.274455906	341.4435998216	844.7180557276
 25/11-12:09:43.043   	Usense5	563.504384394	563.504384394	341.4435998216	904.9479842156
 25/11-12:10:43.043   	Usense5	624.986064715	624.986064715	341.4435998216	966.4296645366
 25/11-12:11:43.043   	Usense5	685.324328118	685.324328118	341.4435998216	1026.7679279396
 25/11-12:12:43.043   	Usense5	744.375389105	744.375389105	341.4435998216	1085.8189889266
 25/11-12:13:43.043   	Usense5	803.869496592	803.869496592	341.4435998216	1145.3130964136
 25/11-12:14:43.043   	Usense5	867.945741997	867.945741997	341.4435998216	1209.3893418186
 25/11-12:15:43.043   	Usense5	924.273030024	924.273030024	341.4435998216	1265.7166298456
 25/11-12:16:43.043   	Usense5	985.107394304	985.107394304	341.4435998216	1326.5509941256
 25/11-12:17:43.043   	Usense5	1044.320956497	1044.320956497	341.4435998216	1385.7645563186
 25/11-12:18:43.043   	Usense5	1107.131471194	1107.131471194	341.4435998216	1448.5750710156
 25/11-12:19:43.043   	Usense5	1167.794708557	1167.794708557	341.4435998216	1509.2383083786
 25/11-12:20:43.043   	Usense5	1224.134259834	1224.134259834	341.4435998216	1565.5778596556
 25/11-12:21:44.044   	Usense5	1283.591140654	1283.591140654	341.4435998216	1625.0347404756
 25/11-12:22:44.044   	Usense5	1345.125823808	1345.125823808	341.4435998216	1686.5694236296
 25/11-12:23:44.044   	Usense5	1407.033360004	1407.033360004	341.4435998216	1748.4769598256
 25/11-12:24:44.044   	Usense5	1466.294519575	1466.294519575	341.4435998216	1807.7381193966
 25/11-12:25:44.044   	Usense5	1526.333099854	1526.333099854	341.4435998216	1867.7766996756
 25/11-12:26:44.044   	Usense5	1586.323056591	1586.323056591	341.4435998216	1927.7666564126
 25/11-12:27:44.044   	Usense5	1648.219454494	1648.219454494	341.4435998216	1989.6630543156
 25/11-12:28:44.044   	Usense5	1712.104178608	1712.104178608	341.4435998216	2053.5477784296
 25/11-12:29:44.044   	Usense2	18.999227843	18.999227843	0	18.999227843
 25/11-12:29:44.044   	Usense5	1768.226058927	1768.226058927	341.4435998216	2109.6696587486
 25/11-12:30:44.044   	Usense2	80.154136956	80.154136956	0	80.154136956
 25/11-12:30:44.044   	Usense5	1824.561471995	1824.561471995	341.4435998216	2166.0050718166
 25/11-12:31:44.044   	Usense2	139.151199109	139.151199109	0	139.151199109
 25/11-12:31:44.044   	Usense5	1886.503689067	1886.503689067	341.4435998216	2227.9472888886
 25/11-12:32:44.044   	Usense2	204.267469348	204.267469348	0	204.267469348
 25/11-12:32:44.044   	Usense5	1944.634700218	1944.634700218	341.4435998216	2286.0783000396
 25/11-12:33:45.045   	Usense2	261.409637749	261.409637749	0	261.409637749
 25/11-12:33:45.045   	Usense5	2011.818069126	2011.818069126	341.4435998216	2353.2616689476
 25/11-12:34:45.045   	Usense2	319.864888487	319.864888487	0	319.864888487
 25/11-12:34:45.045   	Usense5	2066.641309652	2066.641309652	341.4435998216	2408.0849094736
 25/11-12:35:45.045   	Usense2	384.6379901	384.6379901	0	384.6379901
 25/11-12:35:45.045   	Usense5	2126.811161264	2126.811161264	341.4435998216	2468.2547610856
 25/11-12:36:45.045   	Usense2	440.734878794	440.734878794	0	440.734878794
 25/11-12:36:45.045   	Usense5	2187.840978418	2187.840978418	341.4435998216	2529.2845782396
 25/11-12:37:45.045   	Usense2	500.789280322	500.789280322	0	500.789280322
 25/11-12:37:45.045   	Usense5	2250.63270974	2250.63270974	341.4435998216	2592.0763095616
 25/11-12:38:45.045   	Usense2	562.797912435	562.797912435	0	562.797912435
 25/11-12:38:45.045   	Usense5	2305.547877392	2305.547877392	341.4435998216	2646.9914772136
 25/11-12:39:45.045   	Usense2	623.066991714	623.066991714	0	623.066991714
 25/11-12:39:45.045   	Usense5	2368.333885212	2368.333885212	341.4435998216	2709.7774850336
 25/11-12:40:45.045   	Usense2	682.128219617	682.128219617	0	682.128219617
