# time  created  delivered  delivered/created
174234.0000 5908 38 0.0064
174264.0000 5909 38 0.0064
174294.0000 5910 38 0.0064
174319.0000 5911 38 0.0064
174349.0000 5912 38 0.0064
174376.0000 5913 38 0.0064
174407.0000 5914 38 0.0064
174437.0000 5915 38 0.0064
174464.0000 5916 38 0.0064
174495.0000 5917 38 0.0064
174525.0000 5918 38 0.0064
174552.0000 5919 38 0.0064
174580.0000 5920 38 0.0064
174607.0000 5921 38 0.0064
174634.0000 5922 38 0.0064
174668.0000 5923 38 0.0064
174702.0000 5924 38 0.0064
174727.0000 5925 38 0.0064
174761.0000 5926 38 0.0064
174794.0000 5927 38 0.0064
174823.0000 5928 38 0.0064
174856.0000 5929 38 0.0064
174889.0000 5930 38 0.0064
174922.8000 5930 39 0.0066
174923.0000 5931 39 0.0066
174951.0000 5932 39 0.0066
174985.0000 5933 39 0.0066
175014.0000 5934 39 0.0066
175047.0000 5935 39 0.0066
175072.0000 5936 39 0.0066
175101.0000 5937 39 0.0066
175134.0000 5938 39 0.0066
175161.0000 5939 39 0.0066
175188.0000 5940 39 0.0066
175213.0000 5941 39 0.0066
175243.0000 5942 39 0.0066
175276.0000 5943 39 0.0066
175306.0000 5944 39 0.0066
175337.0000 5945 39 0.0066
175367.0000 5946 39 0.0066
175395.0000 5947 39 0.0066
175426.0000 5948 39 0.0066
175451.0000 5949 39 0.0066
175485.0000 5950 39 0.0066
175516.0000 5951 39 0.0066
175544.0000 5952 39 0.0066
175577.0000 5953 39 0.0066
175611.0000 5954 39 0.0066
175644.0000 5955 39 0.0065
175674.0000 5956 39 0.0065
175701.0000 5957 39 0.0065
175732.0000 5958 39 0.0065
175764.0000 5959 39 0.0065
175789.0000 5960 39 0.0065
175818.0000 5961 39 0.0065
175849.0000 5962 39 0.0065
175874.0000 5963 39 0.0065
175906.0000 5964 39 0.0065
175937.0000 5965 39 0.0065
175971.0000 5966 39 0.0065
176000.0000 5967 39 0.0065
176030.0000 5968 39 0.0065
176058.0000 5969 39 0.0065
176090.0000 5970 39 0.0065
176117.0000 5971 39 0.0065
176151.0000 5972 39 0.0065
176185.0000 5973 39 0.0065
176217.0000 5974 39 0.0065
176250.0000 5975 39 0.0065
176275.0000 5976 39 0.0065
176309.0000 5977 39 0.0065
176338.0000 5978 39 0.0065
176367.0000 5979 39 0.0065
176399.0000 5980 39 0.0065
176429.0000 5981 39 0.0065
176455.0000 5982 39 0.0065
176486.0000 5983 39 0.0065
176520.0000 5984 39 0.0065
176549.0000 5985 39 0.0065
176579.0000 5986 39 0.0065
176604.0000 5987 39 0.0065
176630.0000 5988 39 0.0065
176657.0000 5989 39 0.0065
176689.0000 5990 39 0.0065
176722.0000 5991 39 0.0065
176751.0000 5992 39 0.0065
176778.0000 5993 39 0.0065
176805.0000 5994 39 0.0065
176835.0000 5995 39 0.0065
176866.0000 5996 39 0.0065
176894.0000 5997 39 0.0065
176927.0000 5998 39 0.0065
176952.0000 5999 39 0.0065
176981.0000 6000 39 0.0065
177011.0000 6001 39 0.0065
177037.0000 6002 39 0.0065
177067.0000 6003 39 0.0065
177092.0000 6004 39 0.0065
177119.0000 6005 39 0.0065
177151.0000 6006 39 0.0065
177184.0000 6007 39 0.0065
177215.0000 6008 39 0.0065
177245.0000 6009 39 0.0065
177279.0000 6010 39 0.0065
177313.0000 6011 39 0.0065
177333.2000 6011 40 0.0067
177340.0000 6012 40 0.0067
177373.0000 6013 40 0.0067
177399.0000 6014 40 0.0067
177429.0000 6015 40 0.0067
177455.0000 6016 40 0.0066
177489.0000 6017 40 0.0066
177516.0000 6018 40 0.0066
177549.0000 6019 40 0.0066
177578.0000 6020 40 0.0066
177606.0000 6021 40 0.0066
177632.0000 6022 40 0.0066
177662.0000 6023 40 0.0066
177689.0000 6024 40 0.0066
177715.0000 6025 40 0.0066
177747.0000 6026 40 0.0066
177778.0000 6027 40 0.0066
177804.0000 6028 40 0.0066
177836.0000 6029 40 0.0066
177868.0000 6030 40 0.0066
177902.0000 6031 40 0.0066
177929.0000 6032 40 0.0066
177956.0000 6033 40 0.0066
177981.0000 6034 40 0.0066
178012.0000 6035 40 0.0066
178038.0000 6036 40 0.0066
178067.0000 6037 40 0.0066
178097.0000 6038 40 0.0066
178123.0000 6039 40 0.0066
178148.0000 6040 40 0.0066
178177.0000 6041 40 0.0066
178208.0000 6042 40 0.0066
178237.0000 6043 40 0.0066
178263.0000 6044 40 0.0066
178290.0000 6045 40 0.0066
178315.0000 6046 40 0.0066
178346.0000 6047 40 0.0066
178372.0000 6048 40 0.0066
178400.0000 6049 40 0.0066
178429.0000 6050 40 0.0066
178460.0000 6051 40 0.0066
178491.0000 6052 40 0.0066
178520.8000 6052 41 0.0068
178521.0000 6053 41 0.0068
178552.0000 6054 41 0.0068
178581.0000 6055 41 0.0068
178615.0000 6056 41 0.0068
178645.0000 6057 41 0.0068
178675.0000 6058 41 0.0068
178708.0000 6059 41 0.0068
178736.0000 6060 41 0.0068
178764.0000 6061 41 0.0068
178796.0000 6062 41 0.0068
178830.0000 6063 41 0.0068
178864.0000 6064 41 0.0068
178891.0000 6065 41 0.0068
178922.0000 6066 41 0.0068
