# time  created  delivered  delivered/created
5370.0000 180 8 0.0444
5401.0000 181 8 0.0442
5428.0000 182 8 0.0440
5453.0000 183 8 0.0437
5486.0000 184 8 0.0435
5516.0000 185 8 0.0432
5548.0000 186 8 0.0430
5577.0000 187 8 0.0428
5609.0000 188 8 0.0426
5640.0000 189 8 0.0423
5670.0000 190 8 0.0421
5695.0000 191 8 0.0419
5723.0000 192 8 0.0417
5757.0000 193 8 0.0415
5785.0000 194 8 0.0412
5819.0000 195 8 0.0410
5853.0000 196 8 0.0408
5880.0000 197 8 0.0406
5909.0000 198 8 0.0404
5941.0000 199 8 0.0402
5975.0000 200 8 0.0400
6003.0000 201 8 0.0398
6030.0000 202 8 0.0396
6061.0000 203 8 0.0394
6090.0000 204 8 0.0392
6120.0000 205 8 0.0390
6132.4000 205 9 0.0439
6146.0000 206 9 0.0437
6178.0000 207 9 0.0435
6209.0000 208 9 0.0433
6239.0000 209 9 0.0431
6264.0000 210 9 0.0429
6293.0000 211 9 0.0427
6318.0000 212 9 0.0425
6347.0000 213 9 0.0423
6380.0000 214 9 0.0421
6409.0000 215 9 0.0419
6440.0000 216 9 0.0417
6471.0000 217 9 0.0415
6499.0000 218 9 0.0413
6527.0000 219 9 0.0411
6557.0000 220 9 0.0409
6590.0000 221 9 0.0407
6624.0000 222 9 0.0405
6654.0000 223 9 0.0404
6663.3000 223 10 0.0448
6682.0000 224 10 0.0446
6709.0000 225 10 0.0444
6737.0000 226 10 0.0442
6764.0000 227 10 0.0441
6780.5000 227 11 0.0485
6798.0000 228 11 0.0482
6825.0000 229 11 0.0480
6854.0000 230 11 0.0478
6885.0000 231 11 0.0476
6918.0000 232 11 0.0474
6943.0000 233 11 0.0472
6974.0000 234 11 0.0470
6999.0000 235 11 0.0468
7033.0000 236 11 0.0466
7060.0000 237 11 0.0464
7090.0000 238 11 0.0462
7124.0000 239 11 0.0460
7158.0000 240 11 0.0458
7185.0000 241 11 0.0456
7216.0000 242 11 0.0455
7241.0000 243 11 0.0453
7275.0000 244 11 0.0451
7309.0000 245 11 0.0449
7343.0000 246 11 0.0447
7371.0000 247 11 0.0445
7401.0000 248 11 0.0444
7427.0000 249 11 0.0442
7456.0000 250 11 0.0440
7484.0000 251 11 0.0438
7511.0000 252 11 0.0437
7534.8000 252 12 0.0476
7541.0000 253 12 0.0474
7572.0000 254 12 0.0472
7606.0000 255 12 0.0471
7637.0000 256 12 0.0469
7666.0000 257 12 0.0467
7694.0000 258 12 0.0465
7725.0000 259 12 0.0463
7750.0000 260 12 0.0462
7776.0000 261 12 0.0460
7808.0000 262 12 0.0458
7835.0000 263 12 0.0456
7851.4000 263 13 0.0494
7863.0000 264 13 0.0492
7888.0000 265 13 0.0491
7916.0000 266 13 0.0489
7949.0000 267 13 0.0487
7976.0000 268 13 0.0485
8006.0000 269 13 0.0483
8035.0000 270 13 0.0481
8060.0000 271 13 0.0480
8093.0000 272 13 0.0478
8118.0000 273 13 0.0476
8146.0000 274 13 0.0474
8177.0000 275 13 0.0473
8210.0000 276 13 0.0471
8237.0000 277 13 0.0469
8270.0000 278 13 0.0468
8295.0000 279 13 0.0466
8321.0000 280 13 0.0464
8347.0000 281 13 0.0463
8373.0000 282 13 0.0461
8401.0000 283 13 0.0459
8428.0000 284 13 0.0458
8461.0000 285 13 0.0456
8489.0000 286 13 0.0455
8520.0000 287 13 0.0453
8547.0000 288 13 0.0451
8576.0000 289 13 0.0450
8608.0000 290 13 0.0448
8641.0000 291 13 0.0447
8668.0000 292 13 0.0445
8693.0000 293 13 0.0444
8720.0000 294 13 0.0442
8749.0000 295 13 0.0441
8780.0000 296 13 0.0439
8814.0000 297 13 0.0438
8847.0000 298 13 0.0436
8878.0000 299 13 0.0435
8907.0000 300 13 0.0433
8940.0000 301 13 0.0432
8965.0000 302 13 0.0430
8999.0000 303 13 0.0429
