0	CONN	16	12	up
126	CONN	12	16	up
375	CONN	2	13	up
463	CONN	15	52	up
513	CONN	13	2	up
526	CONN	4	3	up
710	CONN	21	24	up
1142	CONN	55	24	up
1305	CONN	84	90	up
1351	CONN	3	4	up
1353	CONN	4	0	up
1403	CONN	0	39	up
1418	CONN	84	95	up
1445	CONN	86	50	up
1528	CONN	15	16	up
1535	CONN	45	82	up
1536	CONN	84	67	up
1538	CONN	66	94	up
1538	CONN	69	40	up
1548	CONN	21	55	up
1631	CONN	0	51	up
1649	CONN	85	70	up
1655	CONN	92	63	up
1659	CONN	89	92	up
1662	CONN	64	94	up
1666	CONN	44	37	up
1666	CONN	44	77	up
1673	CONN	27	95	up
1676	CONN	86	41	up
1708	CONN	4	15	up
