 17/11  -  18:05:47.047 	QUIET
 17/11  -  18:05:50.050 	QUIET
 17/11  -  18:05:53.053 	QUIET
 17/11  -  18:05:57.057 	QUIET
 17/11  -  18:06:00.000 	QUIET
 17/11  -  18:06:03.003 	ALERT
 17/11  -  18:06:06.006 	ALERT
 17/11  -  18:06:09.009 	ALERT
 17/11  -  18:06:12.012 	NORMAL
 17/11  -  18:06:15.015 	NORMAL
 17/11  -  18:06:18.018 	NORMAL
 17/11  -  18:06:21.021 	NORMAL
 17/11  -  18:06:24.024 	NORMAL
 17/11  -  18:06:27.027 	QUIET
 17/11  -  18:06:30.030 	QUIET
 17/11  -  18:06:33.033 	QUIET
 17/11  -  18:06:36.036 	QUIET
 17/11  -  18:06:39.039 	QUIET
 17/11  -  18:06:42.042 	QUIET
 17/11  -  18:06:45.045 	QUIET
 17/11  -  18:06:48.048 	QUIET
 17/11  -  18:06:51.051 	QUIET
 17/11  -  18:06:54.054 	QUIET
 17/11  -  18:06:57.057 	QUIET
 17/11  -  18:07:00.000 	QUIET
 17/11  -  18:07:04.004 	QUIET
 17/11  -  18:07:07.007 	QUIET
 17/11  -  18:07:10.010 	QUIET
 17/11  -  18:07:13.013 	QUIET
 17/11  -  18:07:16.016 	NORMAL
 17/11  -  18:07:19.019 	NORMAL
 17/11  -  18:07:22.022 	NORMAL
 17/11  -  18:07:25.025 	QUIET
 17/11  -  18:07:28.028 	QUIET
 17/11  -  18:07:31.031 	QUIET
 17/11  -  18:07:34.034 	QUIET
 17/11  -  18:07:37.037 	QUIET
 17/11  -  18:07:40.040 	QUIET
 17/11  -  18:07:43.043 	NORMAL
 17/11  -  18:07:46.046 	QUIET
 17/11  -  18:07:49.049 	QUIET
 17/11  -  18:07:52.052 	QUIET
 17/11  -  18:07:55.055 	QUIET
 17/11  -  18:07:58.058 	QUIET
 17/11  -  18:08:01.001 	QUIET
 17/11  -  18:08:04.004 	QUIET
 17/11  -  18:08:07.007 	QUIET
 17/11  -  18:08:10.010 	QUIET
 17/11  -  18:08:13.013 	QUIET
 17/11  -  18:08:16.016 	QUIET
 17/11  -  18:08:20.020 	QUIET
 17/11  -  18:08:23.023 	QUIET
 17/11  -  18:08:26.026 	QUIET
 17/11  -  18:08:29.029 	QUIET
 17/11  -  18:08:32.032 	QUIET
 17/11  -  18:08:35.035 	QUIET
 17/11  -  18:08:38.038 	QUIET
 17/11  -  18:08:41.041 	QUIET
 17/11  -  18:08:44.044 	QUIET
 17/11  -  18:08:47.047 	QUIET
 17/11  -  18:08:50.050 	QUIET
 17/11  -  18:08:53.053 	QUIET
 17/11  -  18:08:56.056 	QUIET
 17/11  -  18:08:59.059 	QUIET
 17/11  -  18:09:02.002 	QUIET
 17/11  -  18:09:05.005 	QUIET
 17/11  -  18:09:08.008 	QUIET
 17/11  -  18:09:11.011 	QUIET
 17/11  -  18:09:14.014 	QUIET
 17/11  -  18:09:17.017 	QUIET
 17/11  -  18:09:20.020 	QUIET
 17/11  -  18:09:23.023 	QUIET
 17/11  -  18:09:26.026 	QUIET
 17/11  -  18:09:29.029 	QUIET
 17/11  -  18:09:32.032 	QUIET
 17/11  -  18:09:35.035 	QUIET
 17/11  -  18:09:38.038 	QUIET
 17/11  -  18:09:41.041 	QUIET
 17/11  -  18:09:44.044 	QUIET
 17/11  -  18:09:47.047 	QUIET
 17/11  -  18:09:50.050 	QUIET
 17/11  -  18:09:54.054 	QUIET
 17/11  -  18:09:57.057 	QUIET
 17/11  -  18:10:00.000 	QUIET
 17/11  -  18:10:03.003 	QUIET
 17/11  -  18:10:06.006 	QUIET
 17/11  -  18:10:09.009 	QUIET
 17/11  -  18:10:12.012 	ALERT
 17/11  -  18:10:15.015 	NORMAL
 17/11  -  18:10:18.018 	QUIET
 17/11  -  18:10:21.021 	QUIET
 17/11  -  18:10:24.024 	QUIET
 17/11  -  18:10:27.027 	QUIET
 17/11  -  18:10:30.030 	QUIET
 17/11  -  18:10:33.033 	QUIET
 17/11  -  18:10:36.036 	QUIET
 17/11  -  18:10:39.039 	QUIET
 17/11  -  18:10:42.042 	QUIET
 17/11  -  18:10:45.045 	QUIET
 17/11  -  18:10:48.048 	QUIET
 17/11  -  18:10:51.051 	QUIET
 17/11  -  18:10:54.054 	QUIET
 17/11  -  18:10:57.057 	QUIET
 17/11  -  18:11:00.000 	QUIET
 17/11  -  18:11:03.003 	NORMAL
 17/11  -  18:11:06.006 	NORMAL
 17/11  -  18:11:09.009 	QUIET
 17/11  -  18:11:13.013 	QUIET
 17/11  -  18:11:16.016 	QUIET
 17/11  -  18:11:19.019 	QUIET
 17/11  -  18:11:22.022 	QUIET
 17/11  -  18:11:25.025 	QUIET
 17/11  -  18:11:28.028 	QUIET
 17/11  -  18:11:31.031 	QUIET
 17/11  -  18:11:34.034 	QUIET
 17/11  -  18:11:37.037 	NORMAL
 17/11  -  18:11:40.040 	ALERT
 17/11  -  18:11:43.043 	ALERT
 17/11  -  18:11:46.046 	ALERT
 17/11  -  18:11:49.049 	ALERT
 17/11  -  18:11:52.052 	NORMAL
 17/11  -  18:11:55.055 	NORMAL
 17/11  -  18:11:58.058 	NORMAL
 17/11  -  18:12:01.001 	NORMAL
 17/11  -  18:12:04.004 	NORMAL
 17/11  -  18:12:07.007 	QUIET
 17/11  -  18:12:10.010 	QUIET
 17/11  -  18:12:13.013 	QUIET
 17/11  -  18:12:16.016 	QUIET
 17/11  -  18:12:19.019 	QUIET
 17/11  -  18:12:22.022 	QUIET
 17/11  -  18:12:26.026 	QUIET
 17/11  -  18:12:29.029 	QUIET
 17/11  -  18:12:32.032 	QUIET
 17/11  -  18:12:35.035 	QUIET
 17/11  -  18:12:38.038 	QUIET
 17/11  -  18:12:41.041 	QUIET
 17/11  -  18:12:44.044 	QUIET
 17/11  -  18:12:47.047 	QUIET
 17/11  -  18:12:50.050 	QUIET
 17/11  -  18:12:53.053 	QUIET
 17/11  -  18:12:56.056 	QUIET
 17/11  -  18:12:59.059 	QUIET
 17/11  -  18:13:03.003 	QUIET
 17/11  -  18:13:06.006 	ALERT
 17/11  -  18:13:09.009 	NORMAL
 17/11  -  18:13:12.012 	QUIET
 17/11  -  18:13:15.015 	ALERT
 17/11  -  18:13:18.018 	ALERT
 17/11  -  18:13:21.021 	ALERT
 17/11  -  18:13:24.024 	NORMAL
 17/11  -  18:13:27.027 	NORMAL
 17/11  -  18:13:30.030 	NORMAL
 17/11  -  18:13:33.033 	QUIET
 17/11  -  18:13:36.036 	QUIET
 17/11  -  18:13:39.039 	QUIET
 17/11  -  18:13:42.042 	QUIET
 17/11  -  18:13:45.045 	QUIET
 17/11  -  18:13:48.048 	QUIET
 17/11  -  18:13:51.051 	QUIET
 17/11  -  18:13:54.054 	QUIET
 17/11  -  18:13:58.058 	QUIET
 17/11  -  18:14:01.001 	QUIET
 17/11  -  18:14:04.004 	QUIET
 17/11  -  18:14:07.007 	QUIET
 17/11  -  18:14:10.010 	QUIET
 17/11  -  18:14:13.013 	QUIET
 17/11  -  18:14:16.016 	QUIET
 17/11  -  18:14:19.019 	QUIET
 17/11  -  18:14:22.022 	QUIET
 17/11  -  18:14:25.025 	QUIET
 17/11  -  18:14:28.028 	QUIET
 17/11  -  18:14:31.031 	QUIET
 17/11  -  18:14:34.034 	QUIET
 17/11  -  18:14:37.037 	NORMAL
 17/11  -  18:14:40.040 	NORMAL
 17/11  -  18:14:44.044 	NORMAL
 17/11  -  18:14:47.047 	NORMAL
 17/11  -  18:14:50.050 	QUIET
