0	CONN	2	9	up
185	CONN	9	2	up
365	CONN	0	8	up
365	CONN	0	6	up
365	CONN	0	7	up
365	CONN	1	8	up
365	CONN	1	8	down
365	CONN	1	9	up
365	CONN	1	0	up
365	CONN	3	4	up
365	CONN	3	4	down
365	CONN	3	8	up
365	CONN	3	10	up
365	CONN	3	2	up
365	CONN	4	5	up
365	CONN	4	5	down
365	CONN	4	9	up
365	CONN	4	9	down
365	CONN	4	8	up
365	CONN	4	8	down
365	CONN	4	7	up
365	CONN	4	7	down
365	CONN	4	11	up
365	CONN	4	11	down
365	CONN	5	9	up
365	CONN	5	9	down
365	CONN	5	4	up
365	CONN	5	4	down
365	CONN	5	0	up
365	CONN	5	0	down
365	CONN	5	7	up
365	CONN	5	7	down
365	CONN	6	1	up
365	CONN	6	1	down
365	CONN	6	8	up
365	CONN	6	8	down
365	CONN	6	5	up
365	CONN	6	10	up
365	CONN	6	2	up
365	CONN	7	4	up
365	CONN	7	4	down
365	CONN	7	3	up
365	CONN	7	3	down
365	CONN	7	2	up
365	CONN	7	9	up
365	CONN	7	0	up
365	CONN	7	6	up
365	CONN	8	3	up
365	CONN	8	3	down
365	CONN	8	1	up
365	CONN	8	1	down
365	CONN	8	11	up
365	CONN	8	11	down
365	CONN	8	10	up
365	CONN	8	10	down
365	CONN	8	0	up
365	CONN	8	9	up
365	CONN	8	7	up
365	CONN	10	3	up
365	CONN	10	3	down
365	CONN	10	1	up
365	CONN	10	1	down
365	CONN	10	9	up
365	CONN	10	4	up
365	CONN	10	0	up
365	CONN	11	1	up
365	CONN	11	1	down
365	CONN	11	2	up
365	CONN	11	2	down
365	CONN	11	7	up
365	CONN	11	7	down
365	CONN	11	6	up
365	CONN	11	6	down
365	CONN	11	8	up
365	CONN	11	8	down
365	CONN	11	5	up
480	CONN	0	10	up
480	CONN	0	3	up
480	CONN	1	11	up
480	CONN	1	11	down
480	CONN	1	5	up
480	CONN	1	5	down
480	CONN	1	3	up
480	CONN	1	10	up
480	CONN	3	8	down
480	CONN	3	6	up
480	CONN	3	6	down
480	CONN	3	7	up
480	CONN	4	10	up
480	CONN	4	10	down
480	CONN	4	6	up
480	CONN	4	2	up
480	CONN	4	1	up
480	CONN	4	3	up
480	CONN	5	8	up
480	CONN	5	8	down
480	CONN	5	2	up
480	CONN	5	3	up
480	CONN	7	11	up
480	CONN	7	11	down
480	CONN	7	5	up
480	CONN	8	6	up
480	CONN	8	6	down
480	CONN	8	4	up
480	CONN	10	11	up
480	CONN	10	11	down
480	CONN	11	10	up
480	CONN	11	10	down
480	CONN	11	3	up
480	CONN	11	3	down
591	CONN	0	8	down
591	CONN	0	6	down
591	CONN	0	9	up
591	CONN	0	9	down
591	CONN	1	9	down
591	CONN	1	0	down
591	CONN	1	7	up
591	CONN	1	7	down
591	CONN	1	2	up
591	CONN	3	11	up
591	CONN	4	6	down
591	CONN	4	2	down
591	CONN	5	11	up
591	CONN	6	5	down
591	CONN	6	7	up
591	CONN	6	9	up
591	CONN	7	2	down
591	CONN	7	8	up
591	CONN	8	0	down
591	CONN	8	9	down
591	CONN	10	2	up
591	CONN	10	2	down
591	CONN	11	5	down
591	CONN	11	0	up
591	CONN	11	0	down
649	CONN	9	2	down
707	CONN	2	9	down
707	CONN	2	4	up
707	CONN	2	4	down
708	CONN	0	10	down
708	CONN	0	2	up
708	CONN	0	2	down
708	CONN	1	3	down
708	CONN	1	6	up
708	CONN	1	6	down
708	CONN	3	10	down
708	CONN	3	2	down
708	CONN	3	11	down
708	CONN	4	0	up
708	CONN	4	0	down
708	CONN	4	7	up
708	CONN	4	7	down
708	CONN	4	8	up
708	CONN	4	5	up
708	CONN	4	9	up
708	CONN	5	11	down
708	CONN	5	6	up
708	CONN	6	0	up
708	CONN	6	8	up
708	CONN	7	8	down
708	CONN	7	4	up
708	CONN	7	4	down
708	CONN	8	11	up
708	CONN	8	11	down
708	CONN	8	1	up
708	CONN	8	1	down
708	CONN	8	3	up
708	CONN	8	10	up
708	CONN	10	7	up
708	CONN	10	7	down
708	CONN	11	7	up
708	CONN	11	7	down
708	CONN	11	8	up
708	CONN	11	8	down
766	CONN	9	1	up
766	CONN	9	1	down
766	CONN	9	4	up
766	CONN	9	4	down
766	CONN	9	6	up
829	CONN	0	1	up
829	CONN	0	1	down
829	CONN	0	4	up
829	CONN	0	4	down
829	CONN	1	10	down
829	CONN	1	8	up
829	CONN	2	10	up
829	CONN	2	5	up
829	CONN	3	7	down
829	CONN	3	8	up
829	CONN	3	8	down
829	CONN	3	6	up
829	CONN	3	6	down
829	CONN	3	1	up
829	CONN	4	1	down
829	CONN	4	10	up
829	CONN	4	10	down
829	CONN	5	6	down
829	CONN	5	7	up
829	CONN	5	7	down
829	CONN	5	8	up
829	CONN	5	8	down
829	CONN	5	0	up
829	CONN	6	10	down
829	CONN	6	2	down
829	CONN	6	0	down
829	CONN	6	4	up
829	CONN	6	4	down
829	CONN	6	11	up
829	CONN	6	11	down
829	CONN	7	9	down
829	CONN	7	0	down
829	CONN	7	3	up
829	CONN	7	3	down
829	CONN	8	7	down
829	CONN	8	4	down
829	CONN	8	3	down
829	CONN	8	6	up
829	CONN	8	6	down
829	CONN	10	9	down
829	CONN	10	4	down
829	CONN	11	2	up
829	CONN	11	2	down
829	CONN	11	10	up
829	CONN	11	10	down
829	CONN	11	9	up
830	CONN	2	10	down
830	CONN	2	1	up
831	CONN	0	3	down
831	CONN	0	6	up
831	CONN	0	6	down
831	CONN	5	2	down
831	CONN	8	10	down
831	CONN	8	0	up
832	CONN	1	8	down
832	CONN	1	9	up
832	CONN	1	9	down
832	CONN	1	7	up
832	CONN	1	7	down
832	CONN	1	5	up
832	CONN	1	5	down
832	CONN	1	0	up
832	CONN	3	0	up
832	CONN	3	0	down
832	CONN	3	9	up
832	CONN	3	5	up
832	CONN	4	8	down
832	CONN	4	2	up
832	CONN	4	2	down
832	CONN	6	3	up
832	CONN	6	3	down
832	CONN	7	10	up
832	CONN	7	10	down
832	CONN	10	3	up
832	CONN	10	3	down
832	CONN	10	2	up
